cloudiness,country,dt,humidity,lat,lon,max_temperature,wind_speed
20,CA,1567226651,93,55.74,-97.86,39.2,0.6
1,US,1567227364,100,42.65,-73.75,63,4.7
40,AU,1567227518,55,-31.65,116.67,64.4,14.99
1,AU,1567226930,26,-23.58,149.07,77.81,8.84
75,AR,1567227519,74,-54.81,-68.31,37.4,4.7
0,CL,1567227519,81,-36.41,-71.9,44.6,10.29
75,PH,1567227519,70,14.18,121.12,88,9.17
67,UY,1567227519,79,-33.69,-53.46,51.71,8.86
1,US,1567227520,77,46.84,-95.91,60.01,5.77
90,PT,1567227520,100,41.76,-8.56,62.6,2.24
95,NG,1567227520,98,7.37,7.63,70.43,4.47
75,CA,1567227239,84,69.44,-133.03,35.6,3.36
83,CD,1567227520,71,-4.54,18.6,76.19,7.25
0,ZA,1567227521,82,-28.55,16.43,54.23,7.05
40,AU,1567227521,39,-33.64,115.35,63,19.91
72,PF,1567227521,76,-23.12,-134.97,72.23,20.31
75,NO,1567227521,93,69.97,23.27,55.4,6.93
20,MV,1567226926,71,-0.6,73.08,82.85,8.25
99,CA,1567227522,79,51.92,-101.55,51.53,2.93
58,BR,1567227522,29,-8.64,-48.82,81.23,4
40,US,1567226942,65,20.89,-156.47,82.4,18.34
99,IN,1567227522,73,26,92.85,87.89,2.39
29,ZA,1567227522,77,-34.42,19.24,53.01,5.01
87,GL,1567227523,55,72.79,-56.15,44.69,14.94
52,KI,1567227523,61,3.07,172.79,84.47,10.18
0,AU,1567227523,34,-42.88,147.33,64.4,13.87
40,TR,1567227523,78,36.95,36.2,79,4.7
90,CL,1567227523,87,-41.87,-73.83,42.8,5.95
3,CN,1567227524,44,29.86,90.73,55.85,4.38
1,US,1567227001,58,43.6,-111.11,66.2,6.93
0,AU,1567227524,37,-35.53,144.96,66,8.01
26,RU,1567226928,38,71.98,102.47,55.49,6.31
0,AR,1567227525,76,-51.62,-69.23,39.2,12.75
23,ZA,1567227525,81,-34.53,20.04,53.01,6.93
21,RU,1567227525,44,64.27,100.22,59.45,5.79
1,US,1567227525,93,44.09,-87.66,55.4,3.42
11,ET,1567226935,78,8.96,38.73,61.25,4.12
